Run,international_trade,max_eff,eutax,neighbor_influence,tax_influence,member_trade_multiplier,tax_distribution,member_count,other_count,average_cooperativeness,other_wealth,total_wealth,member_wealth,other_eff,total_eff,member_eff,gini_coefficient,stdev_agent_cooperativeness
1304,False,0.9013671875,0.422998046875,0.00751953125,0.19814453125,1.697607421875,0.9580078125,152.0,168.0,-0.052359313964843744,30995.173297739595,27405.076815827506,23437.07544108256,2.0810355099559783,1.4988226774128859,0.8553242835494677,0.19525755962451655,0.9971565124264844
3338,False,1.3974609375,0.355615234375,0.17822265625,0.19228515625,1.716943359375,1.0978515625,1.0,319.0,-0.99375,28581.64688934826,28938.813768533564,142875.04822864645,1.7450161431222446,1.757623839298591,5.779478919553041,0.600955927613131,0.11162856937182344
3631,False,1.7607421875,0.504052734375,0.11005859375,0.08623046875000001,1.655712890625,1.0708984375,276.0,44.0,0.6533209228515645,8460506.73935342,9398013653923624.0,1.089624771334528e+16,1.702999840560164,2.021236429535943,2.071969798792951,1.9629397763725425,0.6602988246919609
2466,False,0.5771484375,0.111474609375,0.19306640625,0.01181640625,1.936083984375,0.9181640625,147.0,173.0,-0.07552642822265639,25088.956018531437,29203.608569193388,34046.02279548261,1.5233891627193208,1.4905277699129276,1.4518541579707098,0.22813962209819694,0.9906805353237511
3923,False,1.7255859375,0.140771484375,0.18037109375,0.043847656250000006,1.450537109375,0.8572265625000001,288.0,32.0,0.7908193969726571,33309.136484228555,33336.391151152086,33339.419447476925,2.3406150456531263,1.833032318895206,1.776634238144326,0.10330379779982711,0.5890641688257927
1011,False,1.3310546875,0.292138671875,0.16279296875000002,0.10517578125,1.641748046875,1.0595703125,294.0,26.0,0.7481005859374966,24196.827909206706,666303940.0920268,725226638.4759284,1.4184098039457422,1.664612279795931,1.686385287864315,1.9158138369996736,0.5205279420091536
2179,False,0.2607421875,0.223779296875,0.07763671875,0.16220703125000002,1.121826171875,0.9048828125,13.0,307.0,-0.91875,24879.254154416834,24682.244391822394,20029.78307516911,1.5198859476432753,1.50084062243462,1.0510779425071477,0.11598210699244611,0.3948397618021772
4795,False,0.0361328125,0.561181640625,0.005175781250000001,0.19169921875,1.071337890625,0.9701171875,27.0,293.0,-0.8299218749999999,24837.113453515074,24716.454449414327,23407.080812321004,1.5071659784455547,1.5044238966688819,1.4746672314627687,0.03223473013157899,0.5560016947109824
6248,False,1.8876953125,0.504541015625,0.19052734375,0.02685546875,1.135791015625,0.8560546875,126.0,194.0,-0.20720489501953124,29638.471201117696,29650.1590008836,29668.154502110476,1.9233657886464064,1.8881107990286157,1.833829307077414,0.3357057035716185,0.9653156616682599
5956,False,0.2314453125,0.309228515625,0.08115234375000001,0.13017578125,1.943603515625,0.9748046875,320.0,0.0,1.0,0.0,36591.095952481155,36591.095952481155,0.0,1.4943876925562205,1.4943876925562205,0.011517908763424449,0.0
5378,False,0.4033203125,0.446923828125,0.04833984375,0.15029296875,1.505322265625,1.0841796875,1.0,319.0,-0.99375,24900.976632409536,24959.63041144827,43670.1859248043,1.506610042907758,1.5114247790448188,3.0473256067671723,0.18973785127207438,0.11162856937182344
139,False,1.251953125,0.53896484375,0.0939453125,0.1041015625,1.51767578125,1.025390625,1.0,319.0,-0.99375,27951.70224453367,28107.285246696712,77738.26293670668,1.723764658113172,1.733146458296519,4.725940716784185,0.5387431031869303,0.11162856937182344
